Fecha_Hora,ton_total,n_descargas,n_cam,n_shov,ton_chancador,ton_botadero,descargas_botadero,ton_chancador_1,ton_chancador_2,cam_chancador,cam_botadero,ton_alta_ley,ton_media_ley,ton_baja_ley,ton_lastre,n_perfo,n_eq_apoyo,n_aljibe
2020-01-01 09:00:00,3433.0,29.0,28.0,6.0,956.0,2477.0,17.0,956.0,0.0,12.0,16.0,0.0,956.0,0.0,2477.0,,,
2020-01-01 10:00:00,18608.4842,63.0,44.0,6.0,5223.7421,13384.7421,45.0,1861.0,3362.7421,17.0,34.0,0.0,5223.7421,0.0,13384.7421,,,
2020-01-01 11:00:00,21245.9684,71.0,48.0,6.0,7355.0,13890.9684,46.0,3896.0,3459.0,23.0,32.0,0.0,7667.0,0.0,13578.9684,,,
2020-01-01 12:00:00,14834.7421,49.0,40.0,5.0,7808.0,7026.7421,23.0,4279.0,3529.0,26.0,18.0,0.0,8114.0,0.0,6720.7421,,,
2020-01-01 13:00:00,21135.0,70.0,46.0,5.0,10219.0,10916.0,36.0,5149.0,5070.0,32.0,23.0,0.0,11051.0,0.0,10084.0,,,
2020-01-01 14:00:00,11628.0,39.0,27.0,5.0,5848.0,5780.0,20.0,3344.0,2504.0,19.0,9.0,0.0,5848.0,0.0,5780.0,,,
2020-01-01 15:00:00,2075.0,6.0,7.0,3.0,1491.0,584.0,2.0,918.0,573.0,5.0,2.0,0.0,1491.0,0.0,584.0,,,
2020-01-01 16:00:00,9671.0,31.0,28.0,4.0,7513.0,2158.0,7.0,3065.0,4448.0,25.0,3.0,0.0,7513.0,0.0,2158.0,,,
2020-01-01 17:00:00,17259.2263,56.0,41.0,5.0,9612.7421,7646.4842,25.0,3882.0,5730.7421,29.0,13.0,0.0,10223.7421,0.0,7035.4842,,,
2020-01-01 18:00:00,19353.2263,63.0,40.0,6.0,12090.4842,7262.7421,24.0,5274.7421,6815.7421,31.0,12.0,0.0,12360.4842,0.0,6992.7421,,,
2020-01-01 19:00:00,21747.0,68.0,47.0,6.0,10564.0,11183.0,35.0,5639.0,4925.0,23.0,27.0,0.0,10564.0,0.0,11183.0,,,
2020-01-01 20:00:00,15756.0,51.0,44.0,7.0,7555.0,8201.0,27.0,2450.0,5105.0,23.0,22.0,312.0,7510.0,0.0,7934.0,,,
2020-01-01 21:00:00,2296.0,11.0,11.0,3.0,1989.0,307.0,2.0,1133.0,856.0,9.0,2.0,0.0,1989.0,0.0,307.0,,,
2020-01-01 22:00:00,17459.7421,64.0,42.0,4.0,7670.7421,9789.0,36.0,5036.7421,2634.0,24.0,19.0,0.0,7670.7421,0.0,9789.0,,,
2020-01-01 23:00:00,19627.7421,65.0,41.0,8.0,4609.0,15018.7421,50.0,1519.0,3090.0,13.0,31.0,0.0,4909.0,0.0,14718.7421,,,
2020-01-02 00:00:00,13563.7421,44.0,35.0,5.0,5133.0,8430.7421,27.0,2375.0,2758.0,15.0,20.0,0.0,6049.0,0.0,7514.7421,,,
2020-01-02 01:00:00,20000.0,66.0,41.0,7.0,9704.0,10296.0,33.0,4189.0,5515.0,23.0,18.0,0.0,9704.0,0.0,10296.0,,,
2020-01-02 02:00:00,19856.7421,64.0,42.0,6.0,9584.7421,10272.0,33.0,4911.7421,4673.0,25.0,19.0,0.0,10199.7421,0.0,9657.0,,,
2020-01-02 03:00:00,19204.0,61.0,39.0,6.0,8321.0,10883.0,35.0,3321.0,5000.0,18.0,25.0,0.0,8960.0,0.0,10244.0,,,
2020-01-02 04:00:00,11273.7421,37.0,24.0,6.0,5544.7421,5729.0,19.0,3390.7421,2154.0,11.0,14.0,0.0,5866.7421,0.0,5407.0,,,
2020-01-02 05:00:00,11630.0,38.0,31.0,4.0,968.0,10662.0,35.0,968.0,0.0,3.0,28.0,0.0,1944.0,0.0,9686.0,,,
2020-01-02 06:00:00,14289.0,47.0,30.0,4.0,2227.0,12062.0,40.0,2227.0,0.0,7.0,23.0,0.0,2227.0,0.0,12062.0,,,
2020-01-02 07:00:00,13624.4842,45.0,33.0,5.0,3370.0,10254.4842,34.0,1595.0,1775.0,9.0,26.0,0.0,3673.7421,0.0,9950.7421,,,
2020-01-02 08:00:00,10894.0,36.0,32.0,4.0,5155.0,5739.0,19.0,2473.0,2682.0,16.0,17.0,0.0,5155.0,0.0,5739.0,,,
2020-01-02 09:00:00,12303.4842,56.0,38.0,5.0,4141.7421,8161.7421,35.0,2346.7421,1795.0,17.0,24.0,0.0,4141.7421,0.0,8161.7421,,,
2020-01-02 10:00:00,22626.9684,76.0,46.0,6.0,9250.4842,13376.4842,45.0,4742.4842,4508.0,22.0,29.0,0.0,10697.9684,0.0,11929.0,,,
2020-01-02 11:00:00,23793.4842,80.0,48.0,6.0,11330.7421,12462.7421,41.0,6474.0,4856.7421,28.0,25.0,0.0,13364.4842,0.0,10429.0,,,
2020-01-02 12:00:00,21074.7421,69.0,47.0,6.0,11087.7421,9987.0,33.0,5400.7421,5687.0,28.0,20.0,0.0,11397.7421,0.0,9677.0,,,
2020-01-02 13:00:00,21915.0,70.0,43.0,6.0,9012.0,12903.0,43.0,4387.0,4625.0,21.0,23.0,0.0,9012.0,0.0,12903.0,,,
2020-01-02 14:00:00,13774.7105,46.0,37.0,7.0,5784.7421,7989.9684,27.0,2193.7421,3591.0,14.0,23.0,0.0,5784.7421,0.0,7989.9684,,,
2020-01-02 15:00:00,7726.0,25.0,17.0,3.0,5653.0,2073.0,7.0,1642.0,4011.0,10.0,7.0,0.0,5653.0,0.0,2073.0,,,
2020-01-02 16:00:00,10768.7421,35.0,20.0,4.0,9573.0,1195.7421,4.0,4629.0,4944.0,16.0,4.0,0.0,9573.0,0.0,1195.7421,,,
2020-01-02 17:00:00,20900.7421,67.0,45.0,5.0,12007.0,8893.7421,30.0,6405.0,5602.0,25.0,28.0,0.0,14416.0,0.0,6484.7421,,,
2020-01-02 18:00:00,19563.0,65.0,49.0,6.0,13067.0,6496.0,23.0,5827.0,7240.0,29.0,22.0,0.0,13664.0,0.0,5899.0,,,
2020-01-02 19:00:00,25924.0,85.0,50.0,6.0,12647.0,13277.0,44.0,6170.0,6477.0,24.0,29.0,0.0,13561.0,0.0,12363.0,,,
2020-01-02 20:00:00,16259.0,53.0,39.0,6.0,8924.0,7335.0,25.0,3989.0,4935.0,20.0,19.0,0.0,9478.0,0.0,6781.0,,,
2020-01-02 21:00:00,12127.4842,62.0,43.0,7.0,5244.7421,6882.7421,37.0,2433.0,2811.7421,20.0,26.0,1742.0,4078.4842,0.0,6307.0,,,
2020-01-02 22:00:00,20612.0,66.0,45.0,5.0,9457.0,11155.0,36.0,5088.0,4369.0,27.0,21.0,1480.0,9149.0,0.0,9983.0,,,
2020-01-02 23:00:00,21045.7421,69.0,43.0,5.0,8939.0,12106.7421,40.0,5586.0,3353.0,24.0,25.0,0.0,10391.7421,0.0,10654.0,,,
